Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
327,5;9,158;9,218;7,511;7,567
328;9,1;9,137;7,462;7,538
328,5;9,02;9,027;7,332;7,414
329;8,918;8,867;7,249;7,326
329,5;8,868;8,703;7,136;7,164
330;8,87;8,663;7,025;7,09
330,5;8,783;8,614;6,985;7,087
331;8,678;8,557;6,954;7,075
331,5;8,538;8,61;6,968;7,051
332;8,463;8,67;6,974;7,043
332,5;8,441;8,665;6,955;7,043
333;8,399;8,667;6,949;7,045
333,5;8,33;8,576;6,861;6,955
334;8,305;8,46;6,812;6,891
334,5;8,271;8,271;6,711;6,769
335;8,178;8,175;6,547;6,682
335,5;7,982;7,969;6,412;6,614
336;7,894;7,88;6,331;6,551
336,5;7,783;7,793;6,216;6,463
337;7,694;7,636;6,067;6,3
337,5;7,605;7,468;5,967;6,173
338;7,444;7,324;5,922;6,076
338,5;7,426;7,222;5,852;5,981
339;7,505;7,201;5,877;6,001
339,5;7,464;7,089;5,806;5,937
340;7,294;7,114;5,737;5,898
340,5;7,202;7,121;5,753;5,877
341;7,198;7,186;5,735;5,921
341,5;7,136;7,173;5,685;5,944
342;7,054;7,11;5,602;5,868
342,5;6,965;7,056;5,556;5,786
343;6,962;7,06;5,579;5,785
343,5;7,042;7,076;5,546;5,78
344;7,131;7,084;5,567;5,822
344,5;7,124;7,04;5,525;5,765
345;7,02;6,946;5,542;5,705
345,5;6,988;6,846;5,56;5,655
346;6,931;6,81;5,514;5,635
346,5;6,797;6,687;5,449;5,554
347;6,703;6,609;5,354;5,465
347,5;6,643;6,5;5,309;5,394
348;6,687;6,466;5,294;5,399
348,5;6,623;6,485;5,211;5,351
349;6,595;6,487;5,199;5,368
349,5;6,548;6,507;5,192;5,355
350;6,548;6,435;5,228;5,396
350,5;6,492;6,327;5,183;5,35
351;6,394;6,234;5,127;5,31
351,5;6,318;6,043;5,041;5,225
352;6,284;5,938;4,976;5,176
352,5;6,252;5,879;4,98;5,13
353;6,236;5,878;4,963;5,104
353,5;6,221;5,975;4,949;5,077
354;6,242;6,094;4,988;5,12
354,5;6,244;6,218;4,997;5,124
355;6,261;6,294;4,981;5,141
355,5;6,187;6,297;4,931;5,091
356;6,17;6,305;4,909;5,074
356,5;6,111;6,229;4,9;5,011
357;6,043;6,186;4,868;4,93
357,5;5,983;6,166;4,869;4,869
358;5,903;6,125;4,865;4,803
358,5;5,913;6,08;4,864;4,797
359;5,88;6,044;4,873;4,811
359,5;5,813;5,961;4,817;4,739
360;5,769;5,863;4,757;4,682
360,5;5,785;5,81;4,712;4,707
361;5,932;5,863;4,745;4,793
361,5;5,942;5,869;4,8;4,836
362;5,967;5,883;4,826;4,84
362,5;5,914;5,83;4,8;4,815
363;5,87;5,796;4,787;4,772
363,5;5,89;5,733;4,757;4,751
364;5,801;5,732;4,714;4,681
364,5;5,643;5,691;4,618;4,563
365;5,461;5,553;4,475;4,436
365,5;5,382;5,432;4,323;4,383
366;5,354;5,333;4,269;4,335
366,5;5,161;5,188;4,188;4,269
367;5,018;5,048;4,15;4,199
367,5;4,902;4,898;4,041;4,147
368;4,865;4,738;3,985;4,107
368,5;4,874;4,666;3,992;4,078
369;4,916;4,723;4,004;4,044
369,5;4,825;4,654;3,954;3,968
370;4,746;4,58;3,888;3,916
370,5;4,793;4,513;3,857;3,909
371;4,79;4,494;3,829;3,909
371,5;4,645;4,493;3,794;3,907
372;4,565;4,523;3,766;3,881
372,5;4,539;4,533;3,703;3,871
373;4,538;4,538;3,654;3,841
373,5;4,524;4,55;3,6;3,788
374;4,533;4,584;3,581;3,788
374,5;4,475;4,543;3,501;3,675
