Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
825;-0,196;-0,898;-1,286;-0,73
825,5;-0,227;-0,883;-1,27;-0,712
826;-0,272;-0,909;-1,269;-0,74
826,5;-0,36;-0,964;-1,318;-0,783
827;-0,563;-1,192;-1,434;-0,889
827,5;-0,739;-1,431;-1,492;-0,976
828;-0,699;-1,404;-1,466;-0,909
828,5;-0,751;-1,465;-1,447;-0,883
829;-0,712;-1,483;-1,383;-0,787
829,5;-0,832;-1,491;-1,348;-0,817
830;-0,955;-1,577;-1,338;-0,828
830,5;-0,976;-1,568;-1,282;-0,748
831;-1,114;-1,625;-1,353;-0,795
831,5;-1,089;-1,681;-1,435;-0,789
832;-1,274;-1,818;-1,572;-0,827
832,5;-1,231;-1,759;-1,552;-0,809
833;-0,996;-1,509;-1,5;-0,814
833,5;-0,843;-1,328;-1,352;-0,818
834;-0,612;-1,082;-1,159;-0,849
834,5;-0,534;-0,947;-1,067;-0,95
835;-0,491;-0,956;-0,928;-0,941
835,5;-0,459;-0,753;-0,784;-0,843
836;-0,487;-0,738;-0,858;-0,836
836,5;-0,446;-0,73;-0,892;-0,685
837;-0,689;-0,862;-0,999;-0,592
837,5;-0,833;-1,084;-1,089;-0,611
838;-0,874;-1,121;-1,088;-0,565
838,5;-1,037;-1,223;-1,132;-0,566
839;-1,122;-1,315;-1,186;-0,685
839,5;-1,039;-1,362;-1,206;-0,658
840;-0,944;-1,227;-1,021;-0,534
840,5;-0,772;-0,913;-1,009;-0,525
841;-0,564;-0,851;-1,013;-0,578
841,5;-0,449;-0,8;-0,924;-0,399
842;-0,736;-1,09;-1,031;-0,459
842,5;-1,176;-1,489;-1,04;-0,558
843;-1,436;-1,935;-1,115;-0,607
843,5;-1,807;-2,275;-1,256;-0,797
844;-1,723;-2,541;-1,312;-0,913
844,5;-1,731;-2,555;-1,353;-0,867
845;-1,505;-2,42;-1,22;-0,772
845,5;-1,282;-1,985;-1,267;-0,666
846;-1,129;-2,047;-1,232;-0,683
846,5;-1,01;-1,912;-1,314;-0,47
847;-1,11;-1,814;-1,236;-0,462
847,5;-1,468;-1,691;-1,297;-0,522
848;-1,847;-1,931;-1,489;-0,64
848,5;-1,887;-1,633;-1,396;-0,562
849;-2,022;-1,613;-1,427;-0,747
849,5;-2,199;-1,771;-1,431;-0,761
850;-2,092;-1,8;-1,304;-0,773
;;;;
;;;;
Muestra 2;;;;
23/06/2023 20:13;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
190;277,091;;;
190,5;273,699;;;
191;271,064;;;
191,5;267,528;;;
192;264,372;;;
192,5;260,913;;;
193;257,797;;;
193,5;255,513;;;
194;253,318;;;
194,5;250,279;;;
195;246,928;;;
195,5;243,664;;;
196;240,244;;;
196,5;236,222;;;
197;231,342;;;
197,5;228,078;;;
198;224,805;;;
198,5;221,16;;;
199;217,449;;;
199,5;213,681;;;
200;209,225;;;
200,5;205,602;;;
201;202,239;;;
201,5;199,086;;;
202;195,88;;;
202,5;193,613;;;
203;190,911;;;
203,5;188,886;;;
204;186,687;;;
204,5;184,165;;;
205;181,407;;;
205,5;178,362;;;
206;175,455;;;
206,5;172,417;;;
207;169,541;;;
207,5;166,188;;;
208;163,475;;;
208,5;160,912;;;
209;157,719;;;
209,5;154,512;;;
210;150,944;;;
210,5;147,783;;;
211;144,68;;;
211,5;141,612;;;
212;139,138;;;
212,5;136,224;;;
213;133,631;;;
213,5;130,739;;;
214;128,103;;;
214,5;125,539;;;
215;122,899;;;
215,5;120,199;;;
216;117,648;;;
216,5;115,316;;;
217;112,91;;;
217,5;110,301;;;
218;107,969;;;
218,5;106,005;;;
219;103,991;;;
219,5;101,801;;;
220;99,726;;;
220,5;97,69;;;
221;95,937;;;
221,5;93,872;;;
222;91,845;;;
222,5;89,917;;;
223;87,767;;;
223,5;85,593;;;
224;83,194;;;
224,5;81,033;;;
225;79,052;;;
225,5;77,068;;;
226;75,017;;;
226,5;73,047;;;
227;71,245;;;
227,5;69,492;;;
228;67,871;;;
228,5;66,46;;;
229;65,227;;;
229,5;64,041;;;
230;62,812;;;
230,5;61,495;;;
231;59,936;;;
231,5;58,286;;;
232;56,555;;;
232,5;54,795;;;
233;53,07;;;
233,5;51,303;;;
234;49,784;;;
234,5;48,376;;;
235;47,145;;;
235,5;45,958;;;
236;44,811;;;
236,5;43,759;;;
237;42,628;;;
237,5;41,552;;;
238;40,575;;;
238,5;39,496;;;
239;38,528;;;
239,5;37,56;;;
240;36,643;;;
240,5;35,804;;;
241;35,094;;;
241,5;34,577;;;
242;34,16;;;
242,5;33,923;;;
243;33,67;;;
243,5;33,279;;;
244;32,788;;;
244,5;32,215;;;
245;31,649;;;
245,5;31,251;;;
246;31,06;;;
246,5;30,97;;;
247;31,019;;;
247,5;31,045;;;
248;31,05;;;
248,5;30,919;;;
249;30,593;;;
249,5;30,167;;;
250;29,747;;;
250,5;29,502;;;
251;29,343;;;
251,5;29,27;;;
252;29,205;;;
252,5;29,24;;;
253;29,297;;;
253,5;29,308;;;
254;29,257;;;
254,5;29,164;;;
255;29,05;;;
255,5;28,952;;;
256;28,84;;;
256,5;28,769;;;
257;28,613;;;
257,5;28,501;;;
258;28,366;;;
258,5;28,388;;;
259;28,464;;;
259,5;28,553;;;
260;28,693;;;
260,5;28,843;;;
261;28,834;;;
261,5;28,806;;;
262;28,714;;;
262,5;28,611;;;
263;28,568;;;
263,5;28,574;;;
264;28,486;;;
264,5;28,448;;;
265;28,508;;;
265,5;28,537;;;
266;28,473;;;
266,5;28,405;;;
267;28,406;;;
267,5;28,452;;;
268;28,43;;;
268,5;28,313;;;
269;28,07;;;
269,5;27,906;;;
270;27,798;;;
270,5;27,888;;;
271;27,881;;;
271,5;27,828;;;
272;27,828;;;
272,5;27,768;;;
273;27,543;;;
273,5;27,212;;;
274;26,767;;;
274,5;26,37;;;
275;26,015;;;
275,5;25,758;;;
276;25,505;;;
276,5;25,249;;;
277;25,114;;;
277,5;24,983;;;
278;24,746;;;
278,5;24,508;;;
279;24,27;;;
279,5;24,13;;;
280;23,947;;;
280,5;23,785;;;
281;23,651;;;
281,5;23,524;;;
282;23,433;;;
282,5;23,219;;;
283;22,885;;;
283,5;22,558;;;
284;22,258;;;
284,5;21,974;;;
285;21,736;;;
285,5;21,523;;;
286;21,293;;;
286,5;21,2;;;
287;20,968;;;
287,5;20,701;;;
288;20,386;;;
288,5;20,125;;;
289;19,907;;;
289,5;19,673;;;
290;19,553;;;
290,5;19,407;;;
291;19,31;;;
291,5;19,208;;;
292;19,052;;;
292,5;18,874;;;
293;18,682;;;
293,5;18,563;;;
294;18,458;;;
294,5;18,285;;;
295;18,183;;;
295,5;18,108;;;
296;18,015;;;
296,5;17,799;;;
297;17,615;;;
297,5;17,389;;;
298;17,116;;;
298,5;16,848;;;
299;16,58;;;
299,5;16,208;;;
300;16,013;;;
300,5;15,846;;;
301;15,618;;;
301,5;15,424;;;
302;15,215;;;
302,5;15,049;;;
303;14,776;;;
303,5;14,492;;;
304;14,276;;;
304,5;13,998;;;
305;13,834;;;
305,5;13,653;;;
306;13,441;;;
306,5;13,235;;;
307;12,977;;;
307,5;12,848;;;
308;12,683;;;
308,5;12,569;;;
309;12,531;;;
309,5;12,414;;;
310;12,346;;;
310,5;12,359;;;
311;12,296;;;
311,5;12,168;;;
312;11,946;;;
312,5;11,788;;;
313;11,657;;;
313,5;11,561;;;
314;11,532;;;
314,5;11,503;;;
315;11,46;;;
315,5;11,406;;;
316;11,279;;;
316,5;11,054;;;
317;10,802;;;
317,5;10,632;;;
318;10,494;;;
318,5;10,42;;;
319;10,535;;;
319,5;10,579;;;
320;10,488;;;
320,5;10,362;;;
321;10,2;;;
321,5;9,919;;;
322;9,738;;;
322,5;9,633;;;
323;9,563;;;
323,5;9,616;;;
324;9,755;;;
324,5;9,754;;;
325;9,728;;;
325,5;9,753;;;
326;9,64;;;
326,5;9,461;;;
327;9,338;;;
327,5;9,218;;;
328;9,137;;;
328,5;9,027;;;
329;8,867;;;
329,5;8,703;;;
330;8,663;;;
330,5;8,614;;;
331;8,557;;;
331,5;8,61;;;
332;8,67;;;
332,5;8,665;;;
333;8,667;;;
333,5;8,576;;;
334;8,46;;;
334,5;8,271;;;
335;8,175;;;
335,5;7,969;;;
336;7,88;;;
336,5;7,793;;;
337;7,636;;;
337,5;7,468;;;
338;7,324;;;
338,5;7,222;;;
339;7,201;;;
339,5;7,089;;;
340;7,114;;;
340,5;7,121;;;
341;7,186;;;
341,5;7,173;;;
342;7,11;;;
342,5;7,056;;;
343;7,06;;;
343,5;7,076;;;
344;7,084;;;
344,5;7,04;;;
345;6,946;;;
345,5;6,846;;;
346;6,81;;;
346,5;6,687;;;
347;6,609;;;
347,5;6,5;;;
348;6,466;;;
348,5;6,485;;;
349;6,487;;;
349,5;6,507;;;
350;6,435;;;
350,5;6,327;;;
351;6,234;;;
351,5;6,043;;;
352;5,938;;;
352,5;5,879;;;
353;5,878;;;
353,5;5,975;;;
354;6,094;;;
354,5;6,218;;;
355;6,294;;;
355,5;6,297;;;
356;6,305;;;
356,5;6,229;;;
357;6,186;;;
357,5;6,166;;;
358;6,125;;;
358,5;6,08;;;
359;6,044;;;
359,5;5,961;;;
360;5,863;;;
360,5;5,81;;;
361;5,863;;;
361,5;5,869;;;
362;5,883;;;
362,5;5,83;;;
363;5,796;;;
363,5;5,733;;;
364;5,732;;;
364,5;5,691;;;
365;5,553;;;
365,5;5,432;;;
366;5,333;;;
366,5;5,188;;;
367;5,048;;;
367,5;4,898;;;
368;4,738;;;
368,5;4,666;;;
369;4,723;;;
369,5;4,654;;;
370;4,58;;;
370,5;4,513;;;
371;4,494;;;
371,5;4,493;;;
372;4,523;;;
372,5;4,533;;;
373;4,538;;;
373,5;4,55;;;
374;4,584;;;
374,5;4,543;;;
375;4,501;;;
375,5;4,441;;;
376;4,422;;;
376,5;4,371;;;
377;4,39;;;
377,5;4,351;;;
378;4,32;;;
378,5;4,319;;;
379;4,318;;;
379,5;4,278;;;
380;4,202;;;
380,5;4,108;;;
381;3,974;;;
381,5;3,901;;;
382;3,91;;;
382,5;3,875;;;
383;3,833;;;
383,5;3,837;;;
384;3,816;;;
384,5;3,848;;;
385;3,816;;;
385,5;3,712;;;
386;3,645;;;
386,5;3,743;;;
387;3,757;;;
387,5;3,68;;;
388;3,659;;;
388,5;3,571;;;
389;3,492;;;
389,5;3,411;;;
390;3,336;;;
390,5;3,329;;;
391;3,461;;;
391,5;3,581;;;
392;3,607;;;
392,5;3,626;;;
393;3,691;;;
393,5;3,646;;;
394;3,627;;;
394,5;3,522;;;
395;3,493;;;
395,5;3,442;;;
396;3,344;;;
396,5;3,205;;;
397;3,127;;;
397,5;3,063;;;
398;2,99;;;
398,5;2,962;;;
399;2,969;;;
399,5;2,892;;;
400;2,822;;;
400,5;2,751;;;
401;2,641;;;
401,5;2,583;;;
402;2,544;;;
402,5;2,551;;;
403;2,617;;;
403,5;2,7;;;
404;2,779;;;
404,5;2,844;;;
405;2,885;;;
405,5;2,891;;;
406;2,884;;;
406,5;2,872;;;
407;2,789;;;
407,5;2,691;;;
408;2,644;;;
408,5;2,584;;;
409;2,53;;;
409,5;2,461;;;
410;2,349;;;
410,5;2,29;;;
411;2,307;;;
411,5;2,322;;;
412;2,272;;;
412,5;2,229;;;
413;2,28;;;
413,5;2,25;;;
414;2,203;;;
414,5;2,089;;;
415;1,988;;;
415,5;1,994;;;
416;2,002;;;
416,5;1,998;;;
417;1,977;;;
417,5;2,113;;;
418;2,222;;;
418,5;2,255;;;
419;2,299;;;
419,5;2,339;;;
420;2,376;;;
420,5;2,382;;;
421;2,3;;;
421,5;2,203;;;
422;2,165;;;
422,5;2,238;;;
423;2,243;;;
423,5;2,242;;;
424;2,267;;;
424,5;2,268;;;
425;2,184;;;
425,5;2,044;;;
426;1,957;;;
426,5;1,834;;;
427;1,83;;;
427,5;1,846;;;
428;1,825;;;
428,5;1,847;;;
429;1,787;;;
429,5;1,645;;;
430;1,549;;;
430,5;1,472;;;
431;1,416;;;
431,5;1,347;;;
432;1,324;;;
432,5;1,391;;;
433;1,463;;;
433,5;1,584;;;
434;1,64;;;
434,5;1,593;;;
435;1,608;;;
435,5;1,574;;;
436;1,495;;;
436,5;1,438;;;
437;1,38;;;
437,5;1,451;;;
438;1,514;;;
438,5;1,55;;;
439;1,555;;;
439,5;1,498;;;
440;1,471;;;
440,5;1,381;;;
441;1,303;;;
441,5;1,282;;;
442;1,203;;;
442,5;1,168;;;
443;1,147;;;
443,5;1,109;;;
444;1,12;;;
444,5;1,202;;;
445;1,258;;;
445,5;1,334;;;
446;1,464;;;
446,5;1,53;;;
447;1,492;;;
447,5;1,416;;;
448;1,376;;;
448,5;1,312;;;
449;1,247;;;
449,5;1,103;;;
450;0,967;;;
450,5;0,919;;;
451;0,916;;;
451,5;0,912;;;
452;0,907;;;
452,5;0,935;;;
453;0,959;;;
453,5;0,905;;;
454;0,869;;;
454,5;0,735;;;
455;0,628;;;
455,5;0,533;;;
456;0,479;;;
456,5;0,429;;;
457;0,426;;;
457,5;0,459;;;
458;0,472;;;
458,5;0,499;;;
459;0,582;;;
459,5;0,658;;;
460;0,728;;;
460,5;0,787;;;
461;0,826;;;
461,5;0,799;;;
462;0,705;;;
462,5;0,646;;;
463;0,482;;;
463,5;0,374;;;
464;0,31;;;
464,5;0,227;;;
465;0,216;;;
465,5;0,232;;;
466;0,235;;;
466,5;0,252;;;
467;0,194;;;
467,5;0,153;;;
468;0,108;;;
468,5;0,14;;;
469;0,156;;;
469,5;0,156;;;
470;0,212;;;
470,5;0,245;;;
471;0,265;;;
471,5;0,291;;;
472;0,232;;;
472,5;0,179;;;
473;0,094;;;
473,5;0,058;;;
474;-0,011;;;
474,5;-0,077;;;
475;-0,147;;;
475,5;-0,118;;;
476;-0,081;;;
476,5;-0,1;;;
477;-0,123;;;
477,5;-0,097;;;
478;-0,137;;;
478,5;-0,15;;;
479;-0,097;;;
479,5;-0,13;;;
480;-0,221;;;
480,5;-0,233;;;
481;-0,293;;;
481,5;-0,32;;;
482;-0,283;;;
482,5;-0,185;;;
483;-0,068;;;
483,5;0,004;;;
484;0,126;;;
484,5;0,139;;;
485;0,171;;;
485,5;0,218;;;
486;0,214;;;
486,5;0,29;;;
487;0,348;;;
487,5;0,433;;;
488;0,479;;;
488,5;0,361;;;
489;0,251;;;
489,5;0,161;;;
490;0,169;;;
490,5;0,15;;;
491;0,103;;;
491,5;0,088;;;
492;0,078;;;
492,5;0,079;;;
493;0,055;;;
493,5;-0,098;;;
494;-0,17;;;
494,5;-0,248;;;
495;-0,38;;;
495,5;-0,428;;;
496;-0,418;;;
496,5;-0,431;;;
497;-0,409;;;
497,5;-0,396;;;
498;-0,362;;;
498,5;-0,343;;;
499;-0,378;;;
499,5;-0,43;;;
500;-0,508;;;
500,5;-0,436;;;
501;-0,396;;;
501,5;-0,383;;;
502;-0,424;;;
502,5;-0,39;;;
503;-0,365;;;
503,5;-0,341;;;
504;-0,338;;;
504,5;-0,307;;;
505;-0,269;;;
505,5;-0,219;;;
506;-0,249;;;
506,5;-0,327;;;
507;-0,451;;;
507,5;-0,421;;;
508;-0,409;;;
508,5;-0,395;;;
509;-0,368;;;
509,5;-0,302;;;
510;-0,263;;;
510,5;-0,231;;;
511;-0,232;;;
511,5;-0,316;;;
512;-0,329;;;
512,5;-0,293;;;
513;-0,245;;;
513,5;-0,214;;;
514;-0,174;;;
514,5;-0,158;;;
515;-0,212;;;
515,5;-0,324;;;
516;-0,421;;;
516,5;-0,506;;;
517;-0,519;;;
517,5;-0,535;;;
518;-0,449;;;
518,5;-0,475;;;
519;-0,417;;;
519,5;-0,416;;;
520;-0,465;;;
520,5;-0,47;;;
521;-0,446;;;
521,5;-0,47;;;
522;-0,475;;;
522,5;-0,503;;;
523;-0,476;;;
523,5;-0,544;;;
524;-0,572;;;
524,5;-0,542;;;
525;-0,492;;;
525,5;-0,435;;;
526;-0,444;;;
526,5;-0,514;;;
527;-0,5;;;
527,5;-0,455;;;
528;-0,362;;;
528,5;-0,269;;;
529;-0,228;;;
529,5;-0,196;;;
530;-0,18;;;
530,5;-0,292;;;
531;-0,43;;;
531,5;-0,491;;;
532;-0,516;;;
532,5;-0,479;;;
533;-0,491;;;
533,5;-0,481;;;
534;-0,568;;;
534,5;-0,69;;;
535;-0,734;;;
535,5;-0,817;;;
536;-0,814;;;
536,5;-0,764;;;
537;-0,735;;;
537,5;-0,622;;;
538;-0,626;;;
538,5;-0,657;;;
539;-0,702;;;
539,5;-0,766;;;
540;-0,739;;;
540,5;-0,728;;;
541;-0,698;;;
541,5;-0,632;;;
542;-0,514;;;
542,5;-0,456;;;
543;-0,452;;;
543,5;-0,479;;;
544;-0,414;;;
544,5;-0,357;;;
545;-0,306;;;
545,5;-0,347;;;
546;-0,435;;;
546,5;-0,505;;;
547;-0,674;;;
547,5;-0,958;;;
548;-1,125;;;
548,5;-1,239;;;
549;-1,188;;;
549,5;-1,035;;;
550;-0,816;;;
550,5;-0,655;;;
551;-0,544;;;
551,5;-0,566;;;
552;-0,655;;;
552,5;-0,779;;;
553;-0,959;;;
553,5;-1,089;;;
554;-1,137;;;
554,5;-1,126;;;
555;-1,063;;;
555,5;-1,002;;;
556;-0,918;;;
556,5;-0,926;;;
557;-0,87;;;
557,5;-0,855;;;
558;-0,883;;;
558,5;-0,865;;;
559;-0,871;;;
559,5;-0,852;;;
560;-0,819;;;
560,5;-0,855;;;
561;-0,917;;;
561,5;-1,063;;;
562;-1,123;;;
562,5;-1,146;;;
563;-1,122;;;
563,5;-1,137;;;
564;-1,165;;;
564,5;-1,105;;;
565;-1,083;;;
565,5;-1,113;;;
566;-1,129;;;
566,5;-1,171;;;
567;-1,163;;;
567,5;-1,113;;;
568;-1,095;;;
568,5;-1,121;;;
569;-1,15;;;
569,5;-1,078;;;
570;-1,033;;;
570,5;-0,974;;;
571;-0,947;;;
571,5;-0,97;;;
572;-0,966;;;
572,5;-1,008;;;
573;-1,094;;;
573,5;-1,207;;;
574;-1,272;;;
574,5;-1,162;;;
575;-1,131;;;
575,5;-1,092;;;
576;-1,058;;;
576,5;-1,066;;;
577;-1,033;;;
577,5;-1,081;;;
578;-1,063;;;
578,5;-1,122;;;
579;-1,18;;;
579,5;-1,267;;;
580;-1,319;;;
580,5;-1,307;;;
581;-1,173;;;
581,5;-1,184;;;
582;-1,16;;;
582,5;-1,154;;;
583;-1,039;;;
583,5;-1,029;;;
584;-1,064;;;
584,5;-1,133;;;
585;-1,063;;;
585,5;-1,012;;;
586;-0,977;;;
586,5;-0,946;;;
587;-0,965;;;
587,5;-1,051;;;
588;-1,086;;;
588,5;-1,177;;;
589;-1,22;;;
589,5;-1,29;;;
590;-1,271;;;
590,5;-1,3;;;
591;-1,316;;;
591,5;-1,275;;;
592;-1,316;;;
592,5;-1,384;;;
593;-1,399;;;
593,5;-1,33;;;
594;-1,26;;;
594,5;-1,154;;;
595;-0,982;;;
595,5;-0,876;;;
596;-0,698;;;
596,5;-0,616;;;
597;-0,668;;;
597,5;-0,815;;;
598;-0,887;;;
598,5;-0,935;;;
599;-1,066;;;
599,5;-1,146;;;
600;-1,193;;;
600,5;-1,247;;;
601;-1,171;;;
601,5;-1,233;;;
602;-1,187;;;
602,5;-1,154;;;
603;-1,005;;;
603,5;-0,804;;;
604;-0,665;;;
604,5;-0,613;;;
605;-0,66;;;
605,5;-0,765;;;
606;-0,879;;;
606,5;-1,069;;;
607;-1,143;;;
607,5;-1,233;;;
608;-1,323;;;
608,5;-1,351;;;
609;-1,275;;;
609,5;-1,253;;;
610;-1,244;;;
610,5;-1,197;;;
611;-1,171;;;
611,5;-1,095;;;
612;-1,049;;;
612,5;-1,098;;;
613;-1,174;;;
613,5;-1,155;;;
614;-1,155;;;
614,5;-1,182;;;
615;-1,142;;;
615,5;-1,15;;;
616;-1,244;;;
616,5;-1,316;;;
617;-1,325;;;
617,5;-1,384;;;
618;-1,388;;;
618,5;-1,311;;;
619;-1,234;;;
619,5;-1,136;;;
620;-0,993;;;
620,5;-0,979;;;
621;-1,089;;;
621,5;-1,215;;;
622;-1,349;;;
622,5;-1,519;;;
623;-1,78;;;
623,5;-1,932;;;
624;-1,873;;;
624,5;-1,755;;;
625;-1,577;;;
625,5;-1,428;;;
626;-1,232;;;
626,5;-0,983;;;
627;-0,843;;;
627,5;-0,83;;;
628;-0,916;;;
628,5;-0,954;;;
629;-0,886;;;
629,5;-0,947;;;
630;-1,115;;;
630,5;-1,298;;;
631;-1,405;;;
631,5;-1,379;;;
632;-1,415;;;
632,5;-1,368;;;
633;-1,304;;;
633,5;-1,205;;;
634;-1,115;;;
634,5;-1,16;;;
635;-1,284;;;
635,5;-1,41;;;
636;-1,459;;;
636,5;-1,399;;;
637;-1,494;;;
637,5;-1,535;;;
638;-1,517;;;
638,5;-1,439;;;
639;-1,441;;;
639,5;-1,426;;;
640;-1,549;;;
640,5;-1,541;;;
641;-1,616;;;
641,5;-1,639;;;
642;-1,638;;;
642,5;-1,56;;;
643;-1,43;;;
643,5;-1,331;;;
644;-1,202;;;
644,5;-1,12;;;
645;-1,179;;;
645,5;-1,12;;;
646;-1,165;;;
646,5;-1,132;;;
647;-1,125;;;
647,5;-1,087;;;
648;-1,08;;;
648,5;-1,166;;;
649;-1,022;;;
649,5;-0,858;;;
650;-0,732;;;
650,5;-0,664;;;
651;-0,603;;;
651,5;-0,651;;;
652;-0,83;;;
652,5;-0,923;;;
653;-1,013;;;
653,5;-1,113;;;
654;-1,075;;;
654,5;-0,893;;;
655;-0,862;;;
655,5;-0,876;;;
656;-0,873;;;
656,5;-0,987;;;
657;-1,07;;;
657,5;-1,127;;;
658;-1,124;;;
658,5;-1,09;;;
659;-0,973;;;
659,5;-0,919;;;
660;-0,945;;;
660,5;-0,937;;;
661;-0,889;;;
661,5;-0,928;;;
662;-0,978;;;
662,5;-1,082;;;
663;-1,115;;;
663,5;-0,939;;;
664;-0,828;;;
664,5;-0,913;;;
665;-0,909;;;
665,5;-0,807;;;
666;-0,791;;;
666,5;-0,859;;;
667;-0,954;;;
667,5;-1,068;;;
668;-1,144;;;
668,5;-1,146;;;
669;-1,141;;;
669,5;-1,317;;;
670;-1,344;;;
670,5;-1,331;;;
671;-1,331;;;
671,5;-1,297;;;
672;-1,201;;;
672,5;-1,143;;;
673;-1,147;;;
673,5;-1,178;;;
674;-1,176;;;
674,5;-1,216;;;
675;-1,246;;;
675,5;-1,224;;;
676;-1,314;;;
676,5;-1,423;;;
677;-1,401;;;
677,5;-1,474;;;
678;-1,675;;;
678,5;-1,741;;;
679;-1,729;;;
679,5;-1,624;;;
680;-1,415;;;
680,5;-1,215;;;
681;-1,147;;;
681,5;-0,956;;;
682;-0,767;;;
682,5;-0,781;;;
683;-0,809;;;
683,5;-0,91;;;
684;-1,112;;;
684,5;-1,27;;;
685;-1,344;;;
685,5;-1,395;;;
686;-1,52;;;
686,5;-1,391;;;
687;-1,303;;;
687,5;-1,255;;;
688;-1,103;;;
688,5;-1,059;;;
689;-1,095;;;
689,5;-1,112;;;
690;-1,197;;;
690,5;-1,297;;;
691;-1,372;;;
691,5;-1,401;;;
692;-1,522;;;
692,5;-1,632;;;
693;-1,595;;;
693,5;-1,632;;;
694;-1,719;;;
694,5;-1,807;;;
695;-1,931;;;
695,5;-1,885;;;
696;-1,787;;;
696,5;-1,76;;;
697;-1,72;;;
697,5;-1,588;;;
698;-1,318;;;
698,5;-1,05;;;
699;-0,81;;;
699,5;-0,762;;;
700;-0,743;;;
700,5;-0,648;;;
701;-0,765;;;
701,5;-1,036;;;
702;-1,209;;;
702,5;-1,25;;;
703;-1,193;;;
703,5;-1,113;;;
704;-1,082;;;
704,5;-1,152;;;
705;-1,294;;;
705,5;-1,484;;;
706;-1,654;;;
706,5;-1,892;;;
707;-2,055;;;
707,5;-2,019;;;
708;-2;;;
708,5;-1,926;;;
709;-1,762;;;
709,5;-1,593;;;
710;-1,561;;;
710,5;-1,476;;;
711;-1,253;;;
711,5;-1,225;;;
712;-1,266;;;
712,5;-1,36;;;
713;-1,615;;;
713,5;-1,791;;;
714;-1,914;;;
714,5;-1,905;;;
715;-1,845;;;
715,5;-1,641;;;
716;-1,491;;;
716,5;-1,297;;;
717;-1,238;;;
717,5;-1,217;;;
718;-1,188;;;
718,5;-1,238;;;
719;-1,299;;;
719,5;-1,168;;;
720;-1,141;;;
720,5;-1,152;;;
721;-1,379;;;
721,5;-1,413;;;
722;-1,607;;;
722,5;-1,594;;;
723;-1,558;;;
723,5;-1,68;;;
724;-1,849;;;
724,5;-1,848;;;
725;-1,929;;;
725,5;-1,971;;;
726;-1,892;;;
726,5;-1,788;;;
727;-1,526;;;
727,5;-1,139;;;
728;-0,841;;;
728,5;-0,616;;;
729;-0,559;;;
729,5;-0,595;;;
730;-0,698;;;
730,5;-0,878;;;
731;-1,174;;;
731,5;-1,579;;;
732;-1,599;;;
732,5;-1,63;;;
733;-1,636;;;
733,5;-1,39;;;
734;-1,275;;;
734,5;-1,148;;;
735;-1,062;;;
735,5;-1,079;;;
736;-1,259;;;
736,5;-1,493;;;
737;-1,496;;;
737,5;-1,642;;;
738;-1,691;;;
738,5;-1,605;;;
739;-1,486;;;
739,5;-1,423;;;
740;-1,371;;;
740,5;-1,445;;;
741;-1,517;;;
741,5;-1,541;;;
742;-1,412;;;
742,5;-1,297;;;
743;-1,114;;;
743,5;-0,893;;;
744;-0,788;;;
744,5;-0,847;;;
745;-0,839;;;
745,5;-0,911;;;
746;-0,928;;;
746,5;-0,931;;;
747;-0,914;;;
747,5;-0,839;;;
748;-0,763;;;
748,5;-0,715;;;
749;-0,779;;;
749,5;-0,78;;;
750;-0,793;;;
750,5;-0,723;;;
751;-0,72;;;
751,5;-0,756;;;
752;-0,866;;;
752,5;-1,047;;;
753;-1,198;;;
753,5;-1,376;;;
754;-1,656;;;
754,5;-1,786;;;
755;-1,833;;;
755,5;-1,774;;;
756;-1,624;;;
756,5;-1,474;;;
757;-1,308;;;
757,5;-1,369;;;
758;-1,562;;;
758,5;-1,716;;;
759;-1,862;;;
759,5;-1,89;;;
760;-1,645;;;
760,5;-1,554;;;
761;-1,449;;;
761,5;-1,275;;;
762;-1,21;;;
762,5;-1,356;;;
763;-1,506;;;
763,5;-1,414;;;
764;-1,336;;;
764,5;-1,205;;;
765;-1,098;;;
765,5;-1,28;;;
766;-1,429;;;
766,5;-1,504;;;
767;-1,72;;;
767,5;-1,839;;;
768;-1,924;;;
768,5;-1,782;;;
769;-1,61;;;
769,5;-1,425;;;
770;-1,449;;;
770,5;-1,43;;;
771;-1,41;;;
771,5;-1,347;;;
772;-1,338;;;
772,5;-1,422;;;
773;-1,565;;;
773,5;-1,561;;;
774;-1,538;;;
774,5;-1,641;;;
775;-1,789;;;
775,5;-1,714;;;
776;-1,699;;;
776,5;-1,462;;;
777;-1,251;;;
777,5;-1,242;;;
778;-1,183;;;
778,5;-1,251;;;
779;-1,241;;;
779,5;-1,359;;;
780;-1,546;;;
780,5;-1,491;;;
781;-1,536;;;
781,5;-1,511;;;
782;-1,59;;;
782,5;-1,633;;;
783;-1,65;;;
