Wavelenght,S1,S2
696,5.433,6.717
696.5,5.471,6.726
697,5.536,6.766
697.5,5.642,6.781
698,5.701,6.725
698.5,5.627,6.73
699,5.358,6.861
699.5,5.217,7
700,5.157,7.045
700.5,5.125,6.983
701,5.177,6.86
701.5,5.32,6.739
702,5.482,6.618
702.5,5.554,6.509
703,5.517,6.5
703.5,5.436,6.562
704,5.325,6.694
704.5,5.315,6.827
705,5.353,6.892
705.5,5.401,6.885
706,5.473,6.758
706.5,5.582,6.575
707,5.687,6.369
707.5,5.627,6.262
708,5.461,6.286
708.5,5.438,6.352
709,5.43,6.502
709.5,5.356,6.676
710,5.31,6.744
710.5,5.224,6.798
711,5.202,6.712
711.5,5.254,6.594
712,5.222,6.452
712.5,5.187,6.281
713,5.124,6.165
713.5,5.133,6.133
714,5.181,6.186
714.5,5.196,6.313
715,5.201,6.432
715.5,5.183,6.613
716,5.281,6.724
716.5,5.344,6.768
717,5.369,6.724
717.5,5.277,6.634
718,5.142,6.507
718.5,5.011,6.446
719,4.98,6.41
719.5,4.877,6.466
720,4.803,6.547
720.5,4.827,6.596
721,4.969,6.547
721.5,5.013,6.473
722,5.101,6.396
722.5,5.077,6.353
723,5.231,6.238
723.5,5.323,6.169
724,5.333,6.228
724.5,5.236,6.315
725,5.235,6.385
725.5,5.25,6.437
726,5.268,6.492
726.5,5.272,6.443
727,5.306,6.437
727.5,5.366,6.376
728,5.414,6.426
728.5,5.48,6.461
729,5.436,6.552
729.5,5.312,6.606
730,5.26,6.604
730.5,5.239,6.505
731,5.147,6.475
731.5,5.261,6.288
732,5.321,6.175
732.5,5.287,6.197
733,5.356,6.287
733.5,5.357,6.293
734,5.249,6.262
734.5,5.072,6.311
735,4.992,6.289
735.5,4.887,6.242
736,4.869,6.275
736.5,5.02,6.327
737,5.118,6.457
737.5,5.171,6.574
738,5.258,6.683
738.5,5.111,6.646
739,5.073,6.421
739.5,5.101,6.248
740,5.149,6.112
740.5,5.2,5.985
741,5.398,5.906
741.5,5.519,5.891
742,5.526,5.94
742.5,5.47,5.907
743,5.428,6.012
743.5,5.317,5.944
744,5.31,5.9
744.5,5.349,5.929
745,5.376,6.056
745.5,5.457,6.116
746,5.581,6.248
746.5,5.68,6.337
747,5.65,6.422
747.5,5.452,6.393
748,5.397,6.318
748.5,5.192,6.132
749,5.056,6.115
749.5,4.938,6.029
750,4.927,5.937
750.5,4.881,5.854
751,4.836,5.859
751.5,4.724,6
752,4.577,6.148
752.5,4.36,6.258
753,4.339,6.317
753.5,4.304,6.359
754,4.348,6.414
754.5,4.472,6.329
755,4.656,6.176
755.5,4.81,6.086
756,4.97,6.032
756.5,5.093,6.179
757,5.157,6.254
757.5,5.147,6.305
758,5.159,6.332
758.5,5.097,6.331
759,4.998,6.249
759.5,4.862,6.169
760,4.777,6.049
760.5,4.806,5.982
761,4.907,5.984
761.5,5.051,5.966
762,5.12,5.856
762.5,5.164,5.65
763,5.096,5.435
763.5,5.019,5.253
764,4.923,5.169
764.5,4.747,5.181
765,4.658,5.239
765.5,4.737,5.416
766,4.833,5.711
766.5,4.875,6.017
767,4.965,6.131
767.5,5.061,6.091
768,5.052,6.031
768.5,5.034,5.922
769,4.925,5.898
769.5,4.702,5.997
770,4.665,6.038
770.5,4.787,6.08
771,4.788,6.183
771.5,4.764,6.239
772,5.084,6.172
772.5,5.419,6.011
773,5.616,5.836
773.5,5.715,5.694
774,5.681,5.738
774.5,5.384,5.943
775,5.179,6.024
775.5,4.829,6.184
776,4.595,6.239
776.5,4.436,6.197
777,4.617,6.109
777.5,4.779,5.912
778,5.014,5.65
778.5,5.21,5.503
779,5.311,5.481
779.5,5.088,5.62
780,4.853,5.898
780.5,4.672,6.103
781,4.608,6.112
781.5,4.447,6.141
782,4.323,6.108
782.5,4.314,5.912
783,4.296,5.704
783.5,4.319,5.519
784,4.439,5.454
784.5,4.472,5.572
785,4.595,5.661
785.5,4.698,5.573
786,4.705,5.603
786.5,4.717,5.709
787,4.671,5.699
787.5,4.612,5.626
788,4.447,5.661
788.5,4.416,5.628
789,4.527,5.643
789.5,4.582,5.674
790,4.763,5.722
790.5,4.764,5.812
791,4.781,6.001
791.5,4.82,6.117
792,4.935,6.024
792.5,4.993,5.978
793,5.095,5.862
793.5,5.037,5.696
794,5.067,5.579
794.5,5.016,5.468
795,5.042,5.432
795.5,4.946,5.399
796,4.828,5.419
796.5,4.707,5.42
797,4.756,5.412
797.5,4.682,5.528
798,4.601,5.718
798.5,4.349,5.801
799,4.264,5.898
799.5,4.288,5.887
800,4.511,5.945
800.5,4.677,5.797
801,4.743,5.707
801.5,4.827,5.674
802,4.738,5.767
802.5,4.497,5.856
803,4.252,6.016
803.5,4.079,6.058
804,3.945,6.151
804.5,4.123,6.131
805,4.408,6.098
805.5,4.527,5.79
806,4.568,5.606
806.5,4.72,5.458
807,4.495,5.268
807.5,4.317,5.116
808,4.178,4.984
808.5,4.22,4.901
809,4.334,4.86
809.5,4.611,4.881
810,4.876,4.958
810.5,5.066,5.014
811,5.218,5.175
811.5,5.256,5.369
812,5.006,5.52
812.5,4.851,5.735
813,4.71,5.824
813.5,4.722,5.766
814,4.803,5.652
814.5,4.738,5.642
815,4.622,5.607
815.5,4.593,5.436
816,4.585,5.303
816.5,4.368,5.271
817,4.32,5.149
817.5,4.38,5.053
818,4.618,4.894
818.5,4.902,4.724
819,5.125,4.61
819.5,5.119,4.697
820,5.037,4.856
820.5,5.14,4.827
821,5.181,4.791
821.5,5.021,4.83
822,4.931,4.841
822.5,4.807,4.89
823,4.773,4.946
823.5,4.721,5.049
824,4.694,5.163
